episode_id,state_id,task,round,observed_persistence_logit,predicted_persistence_logit,termination_advantage,estimated_continue_value,estimated_outside_value,cost_component,progress_component,commitment_input_state_0,commitment_input_state_1,commitment_input_state_2
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,bandit,0,4.203889734292549,1.9949290827501829,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,bandit,1,3.0075990353171704,1.8832808242002559,0.5,0.5,0.0,0.0,-2.0,0.5,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,bandit,2,3.7234445810050545,2.162401470575073,0.5,0.5,0.0,0.0,3.0,0.5,0.0,3.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,bandit,3,3.2234445810050545,2.6565748115781065,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337,0.0,3.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,bandit,4,1.4287006782765204,2.377454165203289,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,1.3333333333333337,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,bandit,5,3.0075990353171704,2.6565748115781065,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337,0.0,3.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,bandit,6,2.7254126516016477,2.9036614820796225,1.75,1.75,0.0,0.0,3.0,1.75,0.0,3.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,bandit,7,2.031150136248314,2.6245408357048055,1.75,1.75,0.0,0.0,-2.0,1.75,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,bandit,8,1.6787006782765204,2.6245408357048055,1.75,1.75,0.0,0.0,-2.0,1.75,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,bandit,9,0.826413277982752,2.6245408357048055,1.75,1.75,0.0,0.0,-2.0,1.75,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,bandit,10,0.2676750576056008,2.6245408357048055,1.75,1.75,0.0,0.0,-2.0,1.75,0.0,-2.0
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,bandit,11,0.376928011042974,2.6245408357048055,1.75,1.75,0.0,0.0,-2.0,1.75,0.0,-2.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:0,bandit,0,4.203889734292549,1.9949290827501829,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:1,bandit,1,4.42870067827652,2.6565748115781065,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.3333333333333337,0.0,3.0
