episode_id,state_id,task,round,observed_persistence_logit,predicted_persistence_logit,termination_advantage,estimated_continue_value,estimated_outside_value,cost_component,progress_component,generic_latent_value
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:0,bandit,0,4.203889734292549,2.864405700678059,0.5,0.5,0.0,0.0,0.0,0.5
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:1,bandit,1,3.0075990353171704,2.9003200307281114,0.5,0.5,0.0,0.0,-2.0,0.975
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:2,bandit,2,3.7234445810050545,2.934438644275662,0.5,0.5,0.0,0.0,3.0,1.42625
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:3,bandit,3,3.2234445810050545,3.0298589237248743,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,2.6882708333333336
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:4,bandit,4,1.4287006782765204,3.120508189201626,1.3333333333333337,1.3333333333333337,0.0,0.0,-2.0,3.8871906250000006
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:5,bandit,5,3.0075990353171704,3.20662499140454,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,5.026164427083334
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:6,bandit,6,2.7254126516016477,3.3199397517868285,1.75,1.75,0.0,0.0,3.0,6.524856205729167
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:7,bandit,7,2.031150136248314,3.4275887741500024,1.75,1.75,0.0,0.0,-2.0,7.948613395442708
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:8,bandit,8,1.6787006782765204,3.5298553453950174,1.75,1.75,0.0,0.0,-2.0,9.301182725670571
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:9,bandit,9,0.826413277982752,3.627008588077782,1.75,1.75,0.0,0.0,-2.0,10.586123589387043
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:10,bandit,10,0.2676750576056008,3.719304168626408,1.75,1.75,0.0,0.0,-2.0,11.80681740991769
seed-12026-pa-0.65-pb-0.20,seed-12026-pa-0.65-pb-0.20:11,bandit,11,0.376928011042974,3.806984970147603,1.75,1.75,0.0,0.0,-2.0,12.966476539421805
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:0,bandit,0,4.203889734292549,2.864405700678059,0.5,0.5,0.0,0.0,0.0,0.5
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:1,bandit,1,4.42870067827652,2.9633276273071516,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,1.8083333333333336
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:2,bandit,2,3.6368710061149017,2.9942958610257495,0.5,0.5,0.0,0.0,-2.0,2.2179166666666665
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:3,bandit,3,4.71393946547494,3.0615202410058417,1.0,1.0,0.0,0.0,3.0,3.107020833333333
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:4,bandit,4,3.8288897342925488,3.150586440618545,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,4.285003125
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:5,bandit,5,3.686967589003199,3.2532015007017674,1.5714285714285716,1.5714285714285716,0.0,0.0,3.0,5.642181540178571
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:6,bandit,6,2.92974463538566,3.3169317381849144,1.125,1.125,0.0,0.0,-2.0,6.485072463169642
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:7,bandit,7,1.951413277982752,3.3512222985526376,0.7777777777777777,0.7777777777777777,0.0,0.0,-2.0,6.938596617788937
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:8,bandit,8,3.92358735157374,3.400600356656385,1.0,1.0,0.0,0.0,3.0,7.59166678689949
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:9,bandit,9,3.6949361996449746,3.461256623835827,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,8.393901629372696
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:10,bandit,10,4.52975041827262,3.530336004307031,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,9.307539881237394
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:11,bandit,11,4.27975041827262,3.6056548921514504,1.4615384615384617,1.4615384615384617,0.0,0.0,3.0,10.303701348713986
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:12,bandit,12,3.3199361996449746,3.658513273981296,1.2142857142857144,1.2142857142857144,0.0,0.0,-2.0,11.002801995563999
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:13,bandit,13,4.0380413716877825,3.7177298219452264,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,11.785995229119132
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:14,bandit,14,4.15864569998304,3.781861492083341,1.4375,1.4375,0.0,0.0,3.0,12.634195467663176
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:15,bandit,15,3.79858735157374,3.827497970721106,1.2352941176470589,1.2352941176470589,0.0,0.0,-2.0,13.237779811927076
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:16,bandit,16,3.0429990792290873,3.8572627516550324,1.0555555555555554,1.0555555555555554,0.0,0.0,-2.0,13.631446376886277
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:17,bandit,17,4.643149927917811,3.893277068560742,1.1578947368421053,1.1578947368421053,0.0,0.0,3.0,14.10776879488407
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:18,bandit,18,4.151300195186874,3.9344546671377962,1.25,1.25,0.0,0.0,3.0,14.652380355139865
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:19,bandit,19,4.251929081345374,3.973573385785998,1.25,1.25,0.0,0.0,-2.0,15.169761337382871
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:20,bandit,20,4.328889734292549,3.999034757708539,1.0952380952380951,1.0952380952380951,0.0,0.0,-2.0,15.506511365751821
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:21,bandit,21,5.54858735157374,4.029769304835373,1.1818181818181817,1.1818181818181817,0.0,0.0,3.0,15.913003979282411
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:22,bandit,22,4.929882179158078,4.064944129814944,1.2608695652173911,1.2608695652173911,0.0,0.0,3.0,16.37822334553568
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:23,bandit,23,5.15475041827262,4.103839134987192,1.3333333333333337,1.3333333333333337,0.0,0.0,3.0,16.892645511592228
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:24,bandit,24,5.03364569998304,4.145829997627151,1.4,1.4,0.0,0.0,3.0,17.448013236012613
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:25,bandit,25,5.03364569998304,4.190374185805564,1.4615384615384617,1.4615384615384617,0.0,0.0,3.0,18.03715103575044
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:26,bandit,26,4.7880413716877825,4.236999376306956,1.5185185185185186,1.5185185185185186,0.0,0.0,3.0,18.653812002481438
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:27,bandit,27,4.679882179158078,4.271792161767393,1.3928571428571428,1.3928571428571428,0.0,0.0,-2.0,19.113978545214508
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:28,bandit,28,5.28364569998304,4.309035468318438,1.4482758620689653,1.4482758620689653,0.0,0.0,3.0,19.606555480022745
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:29,bandit,29,5.0380413716877825,4.348327425881319,1.5,1.5,0.0,0.0,3.0,20.126227706021606
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:30,bandit,30,5.273245464372426,4.389313291173871,1.5483870967741935,1.5483870967741935,0.0,0.0,3.0,20.668303417494716
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:31,bandit,31,5.148245464372426,4.431679712209124,1.59375,1.59375,0.0,0.0,3.0,21.22863824661998
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:32,bandit,32,5.026300195186874,4.4751497915631315,1.6363636363636362,1.6363636363636362,0.0,0.0,3.0,21.803569970652617
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:33,bandit,33,4.901300195186874,4.5194788181216925,1.676470588235294,1.676470588235294,0.0,0.0,3.0,22.38986206035528
seed-12033-pa-0.65-pb-0.35,seed-12033-pa-0.65-pb-0.35:34,bandit,34,5.026300195186874,4.5644505616004505,1.7142857142857144,1.7142857142857144,0.0,0.0,3.0,22.984654671623233
