layer,bandit_foraging_cosine,bandit_solvability_cosine,foraging_solvability_cosine
0,-0.0072426083497703075,0.023945368826389313,0.04297871142625809
1,0.04343251883983612,0.020322421565651894,0.026637662202119827
2,-0.0044052740558981895,0.012253555469214916,0.03826990723609924
3,0.008146158419549465,0.04210660979151726,0.03971521556377411
4,0.05379297211766243,0.01078591588884592,0.03830275684595108
5,0.04357956349849701,-0.008559118956327438,-0.014433286152780056
6,0.02973938174545765,0.018992695957422256,0.021591277793049812
7,-0.009936816059052944,0.03824977949261665,0.01334071159362793
8,-0.004098896868526936,0.016697457060217857,0.01599445566534996
9,0.020146971568465233,-0.031416360288858414,-0.017575938254594803
10,0.018180355429649353,-0.028018880635499954,0.037946827709674835
11,0.04715069755911827,0.01126892864704132,-0.006392892450094223
12,0.019805099815130234,0.023839712142944336,0.022812845185399055
13,0.01037653349339962,0.04254787415266037,0.052660614252090454
14,0.02532481774687767,0.024899808689951897,-0.0036153183318674564
15,0.034529127180576324,0.02584228850901127,0.04635428264737129
16,0.013004354201257229,0.024154117330908775,0.03733497112989426
17,0.024596214294433594,0.03244825452566147,0.08300185203552246
18,0.05992532894015312,0.07691274583339691,0.14729554951190948
19,0.020417265594005585,0.011210910975933075,0.05342693626880646
20,0.04064962640404701,0.03616936877369881,0.07174424827098846
21,0.00813404843211174,0.0595487505197525,0.07053464651107788
22,-0.010480287484824657,0.061993930488824844,0.07598055899143219
23,-0.019471362233161926,0.03243390843272209,0.09137867391109467
24,-0.010619306936860085,0.026502542197704315,0.08408612012863159
25,-0.004263761453330517,0.01934545487165451,0.0682520642876625
26,-0.0023660333827137947,0.0019980641081929207,0.10718296468257904
27,-0.0033877622336149216,0.0331697054207325,0.07568003237247467
28,0.05144985020160675,0.07034175097942352,0.07485335320234299
29,0.04955830052495003,0.05122648924589157,0.06855323910713196
30,0.021029487252235413,0.010283353738486767,0.11665276437997818
31,0.03577902540564537,0.025956442579627037,0.13407669961452484
